trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
258,False,"{'a': 0.7, 'e': 0.07479631572685264}",30,0,32.429510869316765,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
259,False,"{'a': 0.7, 'e': 0.07404835256958411}",20,0,16.992151415163285,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
260,False,"{'a': 0.7, 'e': 0.07330786904388827}",30,11,31.15408937191322,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.7, 'e': 0.07257479035344938}",25,13,21.36287039396016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.7, 'e': 0.07184904244991488}",20,5,11.7571240943964,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.7, 'e': 0.07113055202541574}",20,0,24.811048144246108,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
264,False,"{'a': 0.7, 'e': 0.07041924650516158}",20,8,22.40242826672288,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.7, 'e': 0.06971505404010997}",25,13,23.44826902441341,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.7, 'e': 0.06901790349970886}",20,10,14.882166820543436,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.7, 'e': 0.06832772446471178}",20,10,-22.51759784733766,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
268,False,"{'a': 0.7, 'e': 0.06764444722006466}",25,8,18.96476905551545,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
